hora,temp,press,ventvel,rad,chuva,act,classe
22,253,10096,0,-354,0,35,normal
23,25,10091,1,-354,0,53,normal
0,247,10084,4,-354,0,74,normal
1,245,10082,5,-354,0,42,normal
2,247,10082,4,-354,0,65,normal
3,246,10087,2,-354,0,116,normal
4,248,10094,2,4549,0,285,anormal
5,261,10101,9,1931,0,893,normal
6,289,10106,9,3707,0,1211,normal
7,296,1011,1,806,0,1312,normal
8,312,10109,1,1774,0,1386,normal
9,316,10105,14,1988,0,1065,normal
10,314,10097,21,2733,0,1033,normal
11,319,1009,13,2512,0,825,normal
12,313,10085,18,1398,0,893,normal
13,286,10081,2,6868,0,697,normal
14,275,1008,19,2043,0,632,normal
15,26,10087,18,1263,0,436,normal
16,246,10092,7,2346,2,481,normal
17,247,10099,6,-166,3,128,normal
18,248,10105,2,-236,0,15,normal
19,25,10114,0,-274,0,27,normal
20,252,10117,1,-284,0,21,normal
21,248,10112,2,-339,0,116,normal
22,243,10106,0,-354,0,107,normal
23,241,1010,0,-353,0,136,normal
0,239,10096,0,-354,0,17,normal
1,237,10095,0,-349,0,167,normal
2,237,10099,0,-348,0,78,normal
3,235,10104,0,-35,0,213,normal
4,237,10106,0,4198,0,371,anormal
5,256,10113,9,1642,0,934,normal
6,281,10119,13,2761,0,1362,normal
7,296,1012,12,603,0,1247,normal
8,312,10119,11,2077,0,1443,normal
9,313,10115,14,2092,0,1284,normal
10,314,10105,7,2072,0,934,normal
11,316,10095,13,1869,0,764,normal
12,298,10089,2,4564,0,793,anormal
13,293,10081,1,2921,0,784,normal
14,264,10082,7,2717,24,658,normal
15,273,10081,14,9113,2,48,normal
16,273,10086,21,1485,0,391,normal
17,271,10097,9,-31,0,184,normal
18,25,10104,0,-336,22,118,normal
19,251,10105,1,-329,0,69,normal
20,249,10109,3,-351,0,26,normal
21,246,10106,1,-354,0,106,normal
22,242,10101,0,-354,0,129,normal
23,24,10094,0,-354,0,124,normal
0,239,10087,0,-354,0,174,normal
1,238,10084,0,-353,0,101,normal
2,237,10084,2,-354,0,116,normal
3,233,1009,0,-354,0,241,normal
4,236,10096,0,3972,0,576,normal
5,256,10102,5,1632,0,927,normal
6,273,10107,1,254,0,1244,normal
7,295,10107,11,5828,0,1436,normal
8,314,10103,6,2710,0,1424,normal
9,313,10094,16,2928,0,1146,anormal
10,331,10084,8,3216,0,991,normal
11,329,10075,7,2765,0,857,normal
12,314,10068,11,1586,0,857,normal
13,306,10067,14,1201,0,814,normal
14,302,10068,5,5258,0,357,normal
15,296,10073,7,144,0,299,normal
16,283,1008,8,1166,0,549,normal
17,281,10086,7,-353,0,183,normal
18,269,10093,5,-354,0,67,normal
19,26,10099,4,-348,0,76,normal
20,253,10101,3,-354,0,125,normal
21,248,10097,5,-354,0,149,normal
22,244,10091,1,-354,0,204,normal
23,242,10086,0,-354,0,268,normal
0,24,10081,2,-354,0,209,normal
1,238,10079,0,-354,0,209,normal
2,236,10081,1,-354,0,139,normal
3,236,10082,0,-354,0,223,normal
4,241,10084,1,395,0,476,normal
5,258,10093,5,1835,0,834,normal
6,284,1010,9,2828,0,1432,normal
7,298,10099,11,554,0,1419,normal
8,309,10095,11,2591,0,1639,normal
9,316,10089,9,2887,0,1348,normal
